ms,resistance
1.0,579.0
2.0,583.0
3.0,587.0
4.0,589.0
5.0,587.0
6.0,589.0
7.0,591.0
8.0,602.0
9.0,603.0
10.0,611.0
11.0,607.0
12.0,607.0
13.0,607.0
14.0,603.0
15.0,598.0
16.0,591.0
17.0,587.0
18.0,587.0
19.0,587.0
20.0,587.0
21.0,587.0
22.0,583.0
23.0,575.0
24.0,575.0
25.0,573.0
26.0,570.0
27.0,569.0
28.0,567.0
29.0,567.0
30.0,563.0
31.0,559.0
32.0,559.0
33.0,558.0
34.0,555.0
35.0,555.0
36.0,555.0
37.0,557.0
38.0,559.0
39.0,559.0
40.0,567.0
41.0,575.0
42.0,583.0
43.0,589.0
44.0,589.0
45.0,587.0
46.0,587.0
47.0,587.0
48.0,587.0
49.0,583.0
50.0,575.0
51.0,573.0
52.0,567.0
53.0,565.0
54.0,559.0
55.0,558.0
56.0,557.0
57.0,555.0
58.0,554.0
59.0,551.0
60.0,549.0
61.0,547.0
62.0,547.0
63.0,559.0
64.0,575.0
65.0,583.0
66.0,591.0
67.0,599.0
68.0,607.0
69.0,611.0
70.0,613.0
71.0,611.0
72.0,615.0
73.0,619.0
74.0,615.0
75.0,615.0
76.0,607.0
77.0,606.0
78.0,603.0
79.0,603.0
80.0,599.0
81.0,591.0
82.0,587.0
83.0,583.0
84.0,579.0
85.0,575.0
86.0,575.0
87.0,575.0
88.0,573.0
89.0,571.0
90.0,567.0
91.0,565.0
92.0,559.0
93.0,559.0
94.0,559.0
95.0,559.0
96.0,563.0
97.0,567.0
98.0,571.0
99.0,575.0
100.0,579.0
101.0,583.0
102.0,583.0
103.0,589.0
104.0,591.0
105.0,602.0
106.0,599.0
107.0,591.0
108.0,589.0
109.0,583.0
110.0,579.0
111.0,579.0
112.0,575.0
113.0,573.0
114.0,569.0
115.0,567.0
116.0,559.0
117.0,559.0
118.0,557.0
119.0,551.0
120.0,550.0
121.0,558.0
122.0,575.0
123.0,595.0
124.0,607.0
125.0,611.0
126.0,611.0
127.0,615.0
128.0,623.0
129.0,623.0
130.0,623.0
131.0,623.0
132.0,615.0
133.0,607.0
134.0,606.0
135.0,599.0
136.0,591.0
137.0,591.0
138.0,587.0
139.0,583.0
140.0,582.0
141.0,575.0
142.0,571.0
143.0,567.0
144.0,559.0
145.0,559.0
146.0,557.0
147.0,555.0
148.0,551.0
149.0,551.0
150.0,549.0
151.0,549.0
152.0,551.0
153.0,551.0
154.0,557.0
155.0,563.0
156.0,573.0
157.0,582.0
158.0,587.0
159.0,590.0
160.0,591.0
161.0,595.0
162.0,598.0
163.0,598.0
164.0,597.0
165.0,597.0
166.0,591.0
167.0,591.0
168.0,591.0
169.0,587.0
170.0,583.0
171.0,575.0
172.0,571.0
173.0,566.0
174.0,563.0
175.0,559.0
176.0,555.0
177.0,551.0
178.0,550.0
179.0,550.0
180.0,554.0
181.0,566.0
182.0,581.0
183.0,590.0
184.0,597.0
185.0,603.0
186.0,611.0
187.0,615.0
188.0,623.0
189.0,622.0
190.0,619.0
191.0,621.0
192.0,615.0
193.0,611.0
194.0,607.0
195.0,599.0
196.0,595.0
197.0,591.0
198.0,590.0
199.0,587.0
200.0,587.0
201.0,581.0
202.0,575.0
203.0,575.0
204.0,575.0
205.0,571.0
206.0,567.0
207.0,565.0
208.0,563.0
209.0,559.0
210.0,558.0
211.0,555.0
212.0,551.0
213.0,551.0
214.0,550.0
215.0,554.0
216.0,559.0
217.0,559.0
218.0,567.0
